category,number,name,team,year,brand,set,flags,front_image,back_image
Baseball,35,Dylan Carlson,St. Louis Cardinals,2021,Bowman,2021 Bowman,RC,https://storage.googleapis.com/collx-media/user_cards/232360-20482013-1659807783-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-20482013-1659807783-back.jpg
Baseball,8,Andres Gimenez,New York Mets,2021,Bowman,2021 Bowman,RC,https://storage.googleapis.com/collx-media/user_cards/232360-20481523-1659807686-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-20481523-1659807686-back.jpg
Baseball,56,Jose Garcia,Cincinnati Reds,2021,Bowman,2021 Bowman,RC,https://storage.googleapis.com/collx-media/user_cards/232360-20481277-1659807616-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-20481277-1659807616-back.jpg
Baseball,9,Andrew McCutchen,Pittsburgh Pirates,2013,Panini,2013 Panini Select,,https://storage.googleapis.com/collx-media/user_cards/232360-20475823-1659806378-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-20475823-1659806378-back.jpg
Baseball,75,Sam Huff,Texas Rangers,2021,Bowman,2021 Bowman Platinum,RC,https://storage.googleapis.com/collx-media/user_cards/232360-20458769-1659802614-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-20458769-1659802614-back.jpg
Baseball,RR-4,Casey Mize,Detroit Tigers,2021,Bowman,2021 Bowman Platinum - Renowned Rookies,,https://storage.googleapis.com/collx-media/user_cards/232360-20457822-1659802402-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-20457822-1659802402-back.jpg
Baseball,7,Casey Mize,Detroit Tigers,2021,Bowman,2021 Bowman Platinum,RC,https://storage.googleapis.com/collx-media/user_cards/232360-20456806-1659802182-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-20456806-1659802182-back.jpg
Baseball,54,Andre Scrubb,Houston Astros,2021,Prizm,2021 Panini Prizm - Red Prizm,,https://storage.googleapis.com/collx-media/user_cards/232360-20456250-1659802053-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-20456250-1659802053-back.jpg
Baseball,BCP-142,Corbin Carroll,Arizona Diamondbacks,2021,Bowman,2021 Bowman - Chrome Prospects Mojo Refractor,,https://storage.googleapis.com/collx-user-cards/232360-369342747-front.jpg,
Baseball,WM-SS2a,Sammy Sosa,Chicago Cubs,2003,,2003 SPx - Winning Materials 175,"MEM, SN175",https://storage.googleapis.com/collx-user-cards/232360-369337614-front.jpg,
Baseball,WM-FT1a,Frank Thomas,Chicago White Sox,2003,,2003 SPx - Winning Materials 250,"MEM, SN250",https://storage.googleapis.com/collx-user-cards/232360-369337456-front.jpg,
Baseball,45,Greg Deichmann,Chicago Cubs,2022,Donruss,2022 Donruss,RC,https://storage.googleapis.com/collx-user-cards/232360-369157888-front.jpg,
Baseball,24,Willson Contreras,Chicago Cubs,2022,Donruss,2022 Donruss - Season Stat Line,SN340,https://storage.googleapis.com/collx-user-cards/232360-369157866-front.jpg,
Baseball,59,Connor Seabold,Boston Red Sox,2022,Donruss,2022 Donruss,RC,https://storage.googleapis.com/collx-user-cards/232360-369149810-front.jpg,
Baseball,79,Eli Morgan,Cleveland Guardians,2022,Donruss,2022 Donruss,RC,https://storage.googleapis.com/collx-user-cards/232360-369149759-front.jpg,
Baseball,237b,Alex Verdugo,Boston Red Sox,2022,Donruss,2022 Donruss - Red,SN2022,https://storage.googleapis.com/collx-user-cards/232360-369149729-front.jpg,
Baseball,9,Salvador Perez,Kansas City Royals,2022,Donruss,2022 Donruss,,https://storage.googleapis.com/collx-user-cards/232360-369149539-front.jpg,
Baseball,223,Stan Musial,St. Louis Cardinals,2022,Donruss,2022 Donruss - Liberty,,https://storage.googleapis.com/collx-user-cards/232360-369149496-front.jpg,
